timestamp,protocol,scheme,kem,signature,client_ip,server_ip,cond_profile,latency_ms,handshake_ms,throughput_mbps,cpu_pct,mem_mb,packet_loss_pct
2025-10-24T08:46:40-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.196,5.39,NA,NA,NA,0
2025-10-24T08:46:41-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.066,6.21,NA,NA,NA,0
2025-10-24T08:46:42-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.226,5.12,NA,NA,NA,0
2025-10-24T08:46:43-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.132,5.98,NA,NA,NA,0
2025-10-24T08:46:45-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.425,5.00,NA,NA,NA,0
2025-10-24T08:46:46-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.288,5.30,NA,NA,NA,0
2025-10-24T08:46:47-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.407,5.26,NA,NA,NA,0
2025-10-24T08:46:48-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.042,5.99,NA,NA,NA,0
2025-10-24T08:46:49-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.192,5.26,NA,NA,NA,0
2025-10-24T08:46:50-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.006,5.10,NA,NA,NA,0
2025-10-24T08:46:51-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.121,5.12,NA,NA,NA,0
2025-10-24T08:46:52-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.864,4.52,NA,NA,NA,0
2025-10-24T08:46:53-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.906,5.60,NA,NA,NA,0
2025-10-24T08:46:54-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.308,5.73,NA,NA,NA,0
2025-10-24T08:46:55-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.368,5.79,NA,NA,NA,0
2025-10-24T08:46:56-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.034,11.6,NA,NA,NA,0
2025-10-24T08:46:57-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.968,5.31,NA,NA,NA,0
2025-10-24T08:46:58-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.522,5.79,NA,NA,NA,0
2025-10-24T08:46:59-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.717,6.01,NA,NA,NA,0
2025-10-24T08:47:01-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.036,5.25,NA,NA,NA,0
2025-10-24T08:47:02-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.570,5.41,NA,NA,NA,0
2025-10-24T08:47:03-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.850,4.42,NA,NA,NA,0
2025-10-24T08:47:04-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.959,4.82,NA,NA,NA,0
