timestamp,algorithm,class,operation,time_ms,ops_per_sec,notes
2025-11-09T18:58:29+00:00,ML-KEM-768,kem,encap,0.0355,28127.81,pqc
2025-11-09T18:58:29+00:00,ML-KEM-768,kem,decap,0.0283,35217.46,pqc
2025-11-09T18:58:40+00:00,ML-KEM-768,kem,keygen,0.0375,26628.32,pqc
2025-11-09T18:58:40+00:00,ML-KEM-768,kem,encap,0.0382,26123.30,pqc
2025-11-09T18:58:40+00:00,ML-KEM-768,kem,decap,0.0284,35151.85,pqc
2025-11-09T18:58:50+00:00,ML-KEM-768,kem,keygen,0.0451,22170.98,pqc
2025-11-09T18:58:50+00:00,ML-KEM-768,kem,encap,0.0516,19367.45,pqc
2025-11-09T18:58:50+00:00,ML-KEM-768,kem,decap,0.0305,32745.01,pqc
2025-11-09T18:59:01+00:00,ML-KEM-768,kem,keygen,0.0372,26857.17,pqc
2025-11-09T18:59:01+00:00,ML-KEM-768,kem,encap,0.0385,25960.53,pqc
2025-11-09T18:59:01+00:00,ML-KEM-768,kem,decap,0.0286,34914.98,pqc
2025-11-09T18:59:11+00:00,ML-KEM-768,kem,keygen,0.0360,27737.71,pqc
2025-11-09T18:59:11+00:00,ML-KEM-768,kem,encap,0.0391,25523.22,pqc
2025-11-09T18:59:11+00:00,ML-KEM-768,kem,decap,0.0320,31220.73,pqc
2025-11-09T18:59:21+00:00,ML-KEM-768,kem,keygen,0.0375,26599.98,pqc
2025-11-09T18:59:21+00:00,ML-KEM-768,kem,encap,0.0419,23818.03,pqc
2025-11-09T18:59:21+00:00,ML-KEM-768,kem,decap,0.0288,34718.60,pqc
2025-11-09T18:59:32+00:00,ML-KEM-768,kem,keygen,0.0364,27463.47,pqc
2025-11-09T18:59:32+00:00,ML-KEM-768,kem,encap,0.0364,27457.44,pqc
2025-11-09T18:59:32+00:00,ML-KEM-768,kem,decap,0.0300,33332.22,pqc
2025-11-09T18:59:42+00:00,ML-KEM-768,kem,keygen,0.0372,26852.84,pqc
